Time,Sequence #,Data,Best Gateway,RSSI,SNR
2019-09-18 15:30:42,481,d77e0100bf02300d00016ba02b0005000000042f01,64-7F-DA-FF-FE-00-43-A5,-71,12.2
2019-09-18 14:30:43,480,d77e070da70100c2022f0d00016c3d2b0004000000032f01,64-7F-DA-FF-FE-00-43-A5,-68,13.2
2019-09-18 13:30:44,479,d77e0100e7022e0d000171aa2b0004000000032f09,64-7F-DA-FF-FE-00-43-A5,-67,13.5
2019-09-18 12:30:44,478,d77e070d8f0100f102300d000173322b0004000000032f09,64-7F-DA-FF-FE-00-43-A5,-69,13.2
2019-09-18 11:30:45,477,d77e0100ed02330d000172942b0005000000042f09,64-7F-DA-FF-FE-00-43-A5,-69,12.8
2019-09-18 10:30:46,476,d77e070d8f0100ee02350d0001726a2b0006000000042f09,64-7F-DA-FF-FE-00-43-A5,-71,13
2019-09-18 09:30:46,475,d77e0100c802390d00016ce62b000a000000082f09,64-7F-DA-FF-FE-00-43-A5,-67,10
2019-09-18 08:30:47,474,d77e070da20100ae023c0d0001690c2b000a000000082f02,64-7F-DA-FF-FE-00-43-A5,-68,13.5
2019-09-18 07:30:48,473,d77e010088023f0d000163a12b000d0000000a2f00,64-7F-DA-FF-FE-00-43-A5,-69,13.8
2019-09-18 06:30:48,472,d77e070d9d010074023f0d000160e72b000c000000092f00,64-7F-DA-FF-FE-00-43-A5,-68,12.8
2019-09-18 05:30:49,471,d77e01007c023e0d000161f92b0009000000072f00,64-7F-DA-FF-FE-00-51-DB,-101,5
2019-09-18 05:30:49,471,d77e01007c023e0d000161f92b0009000000072f00,64-7F-DA-FF-FE-00-43-A5,-67,13
2019-09-18 04:30:50,470,d77e070d9d01007f023c0d0001623e2b0007000000052f00,64-7F-DA-FF-FE-00-43-A5,-66,11.8
2019-09-18 03:30:50,469,d77e010085023b0d000163252b0006000000042f00,64-7F-DA-FF-FE-00-43-A5,-68,12.8
2019-09-18 02:30:51,468,d77e070da001008902390d000163b62b0006000000042f00,64-7F-DA-FF-FE-00-43-A5,-66,12.8
2019-09-18 01:30:52,467,d77e01009102380d000164b72b0006000000042f00,64-7F-DA-FF-FE-00-43-A5,-69,13.5
2019-09-18 00:30:52,466,d77e070da201009702360d000165852b0004000000022f00,64-7F-DA-FF-FE-00-43-A5,-67,12.8
2019-09-17 23:30:53,465,d77e01009b02350d000166192b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-67,12.5
2019-09-17 22:30:53,464,d77e070da50100a402340d000167562b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-67,14.8
2019-09-17 21:30:54,463,d77e0100a802330d000167e12b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-66,11.8
2019-09-17 20:30:55,462,d77e070da70100ad02320d0001689f2b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-69,14
2019-09-17 19:30:55,461,d77e0100b502310d000169b82b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-68,12.8
2019-09-17 18:30:56,460,d77e070da90100c302300d00016bb72b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-67,12.8
2019-09-17 17:30:57,459,d77e0100c502300d00016c012b0004000000032f00,72-76-FF-00-2E-05-04-F8,-109,-1.2
2019-09-17 17:30:57,459,d77e0100c502300d00016c012b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-68,13.5
2019-09-17 16:30:57,458,d77e070da90100c802300d00016c782b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-67,13
2019-09-17 15:30:58,457,d77e0100c702300d00016c722b0003000000022f01,64-7F-DA-FF-FE-00-43-A5,-69,9.5
2019-09-17 14:30:59,456,d77e070da90100cb02300d00016d042b0003000000022f02,64-7F-DA-FF-FE-00-43-A5,-72,12.8
2019-09-17 13:30:59,455,d77e0100ee022f0d0001722b2b0006000000042f09,64-7F-DA-FF-FE-00-43-A5,-73,12.8
2019-09-17 12:31:00,454,d77e070d8c0100ef02300d000172192b0003000000022f09,64-7F-DA-FF-FE-00-43-A5,-69,12.5
2019-09-17 11:31:01,453,d77e0100f302310d000172982b0004000000032f09,64-7F-DA-FF-FE-00-43-A5,-71,13.2
2019-09-17 10:31:01,452,d77e070d8a0100d902320d00016ecb2b0003000000022f09,64-7F-DA-FF-FE-00-43-A5,-71,12.5
2019-09-17 09:31:02,451,d77e0100e002320d00016f842b0004000000032f09,64-7F-DA-FF-FE-00-43-A5,-66,12.2
2019-09-17 08:31:03,450,d77e070da70100bf02350d00016ac72b0003000000022f02,72-76-FF-00-2E-05-04-F8,-107,-3
2019-09-17 08:31:03,450,d77e070da70100bf02350d00016ac72b0003000000022f02,64-7F-DA-FF-FE-00-43-A5,-67,13.2
2019-09-17 07:31:03,449,d77e01009202370d000164842b000a000000072f00,64-7F-DA-FF-FE-00-43-A5,-69,13.5
2019-09-17 06:31:04,448,d77e070da001008302380d0001626f2b0005000000042f00,64-7F-DA-FF-FE-00-43-A5,-69,13.2
2019-09-17 05:31:05,447,d77e01008a02360d000163672b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-71,13.5
2019-09-17 04:31:05,446,d77e070da001009102360d000164602b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-67,12.8
2019-09-17 03:31:07,445,d77e01009702350d000165222b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-66,11.8
2019-09-17 02:31:06,444,d77e070da201009202360d000164842b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-68,14
